trip_id,arrival_time,departure_time,stop_id,stop_sequence
r001_e00_w,06:30:00,06:30:00,s0042,1
r001_e00_w,,,s0050,2
r001_e00_w,,,s0367,3
r001_e00_w,,,s0366,4
r001_e00_w,,,s0408,5
r001_e00_w,,,s0407,6
r001_e00_w,,,s0133,7
r001_e00_w,,,s0094,8
r001_e00_w,,,s0174,9
r001_e00_w,07:10:00,07:10:00,s0259,10
r001_e00_b,07:30:00,07:30:00,s0259,1
r001_e00_b,,,s0174,2
r001_e00_b,,,s0094,3
r001_e00_b,,,s0133,4
r001_e00_b,,,s0407,5
r001_e00_b,,,s0408,6
r001_e00_b,,,s0366,7
r001_e00_b,,,s0367,8
r001_e00_b,,,s0050,9
r001_e00_b,08:10:00,08:10:00,s0042,10
r001_e01_w,10:00:00,10:00:00,s0042,1
r001_e01_w,,,s0050,2
r001_e01_w,,,s0367,3
r001_e01_w,,,s0366,4
r001_e01_w,,,s0408,5
r001_e01_w,,,s0407,6
r001_e01_w,,,s0133,7
r001_e01_w,,,s0094,8
r001_e01_w,,,s0174,9
r001_e01_w,10:40:00,10:40:00,s0259,10
r001_e01_b,11:00:00,11:00:00,s0259,1
r001_e01_b,,,s0174,2
r001_e01_b,,,s0094,3
r001_e01_b,,,s0133,4
r001_e01_b,,,s0407,5
r001_e01_b,,,s0408,6
r001_e01_b,,,s0366,7
r001_e01_b,,,s0367,8
r001_e01_b,,,s0050,9
r001_e01_b,11:40:00,11:40:00,s0042,10
r001_e02_w,14:00:00,14:00:00,s0042,1
r001_e02_w,,,s0050,2
r001_e02_w,,,s0367,3
r001_e02_w,,,s0366,4
r001_e02_w,,,s0408,5
r001_e02_w,,,s0407,6
r001_e02_w,,,s0133,7
r001_e02_w,,,s0094,8
r001_e02_w,,,s0174,9
r001_e02_w,14:40:00,14:40:00,s0259,10
r001_e02_b,15:00:00,15:00:00,s0259,1
r001_e02_b,,,s0174,2
r001_e02_b,,,s0094,3
r001_e02_b,,,s0133,4
r001_e02_b,,,s0407,5
r001_e02_b,,,s0408,6
r001_e02_b,,,s0366,7
r001_e02_b,,,s0367,8
r001_e02_b,,,s0050,9
r001_e02_b,15:40:00,15:40:00,s0042,10
r001_e03_w,16:30:00,16:30:00,s0042,1
r001_e03_w,,,s0050,2
r001_e03_w,,,s0367,3
r001_e03_w,,,s0366,4
r001_e03_w,,,s0408,5
r001_e03_w,,,s0407,6
r001_e03_w,,,s0133,7
r001_e03_w,,,s0094,8
r001_e03_w,,,s0174,9
r001_e03_w,17:10:00,17:10:00,s0259,10
r001_e03_b,17:15:00,17:15:00,s0259,1
r001_e03_b,,,s0174,2
r001_e03_b,,,s0094,3
r001_e03_b,,,s0133,4
r001_e03_b,,,s0407,5
r001_e03_b,,,s0408,6
r001_e03_b,,,s0366,7
r001_e03_b,,,s0367,8
r001_e03_b,,,s0050,9
r001_e03_b,17:55:00,17:55:00,s0042,10
r001_e04_w,18:00:00,18:00:00,s0042,1
r001_e04_w,,,s0050,2
r001_e04_w,,,s0367,3
r001_e04_w,,,s0366,4
r001_e04_w,,,s0408,5
r001_e04_w,,,s0407,6
r001_e04_w,,,s0133,7
r001_e04_w,,,s0094,8
r001_e04_w,,,s0174,9
r001_e04_w,18:40:00,18:40:00,s0259,10
