stop_id,stop_name,stop_lat,stop_lon
s0001,Al. Odobescu 1,45.513322,26.916658
s0002,Al. Odobescu 2,45.517030,26.925932
s0003,Albeşti,44.990419,26.925491
s0004,Aldeni,45.319132,26.756762
s0005,Aldeni magazin,45.311211,26.750340
s0006,Amaru,45.253006,26.704486
s0007,Apostari,45.479389,26.679494
s0008,Arcanu,44.996580,26.859047
s0009,Autogara Sud,45.143735,26.829791
s0010,Autogara XXL,45.162507,26.814720
s0011,Balta Albă,45.304629,27.284828
s0012,Balta Tocila,45.404756,26.697562
s0013,Batogu,45.411662,26.877719
s0014,Beceni,45.382100,26.769004
s0015,Beciu,45.375450,26.710728
s0016,Bentu,45.066133,26.972864
s0017,Berca Consiliul Local,45.283275,26.688678
s0018,Berca ramificaţie,45.287477,26.674074
s0019,Beşlii,45.483859,26.672898
s0020,Bisoca,45.542233,26.706427
s0021,Bisocuţa,45.529338,26.695368
s0022,Blăjani Cap Traseu,45.376488,26.889990
s0023,Blăjani Centru,45.376488,26.889990
s0024,Boboc 1,45.171166,26.800402
s0025,Boboc 2,45.175520,26.770436
s0026,Boboc 3,45.185854,26.749431
s0027,Boboc Gară,45.209500,26.928751
s0028,Boldu,45.322786,27.240269
s0029,Bozioru 1,45.373967,26.487840
s0030,Bozioru 2,45.381447,26.490912
s0031,Breaza 1,45.085889,26.533369
s0032,Breaza 2,45.091790,26.528573
s0033,Brădeanu,44.996580,26.859047
s0034,Brăeşti,45.430343,26.510252
s0035,Brăgăreasa,44.918215,26.986168
s0036,Brătileşti,45.468713,26.482661
s0037,Buda 1,45.493925,26.904375
s0038,Buda 2,45.499658,26.904792
s0039,Budişteni,45.043642,26.785702
s0040,Buzău Autgara Sud,45.136290,26.789244
s0041,Buzău Autogara Marghiloman,45.136290,26.789244
s0042,Buzău Autogara Sud,45.143735,26.829791
s0043,Buzău Autogara XXL,45.162507,26.814720
s0044,Buzău Chimica,45.160256,26.800744
s0045,Buzău Cimitirul Evreiesc,45.128360,26.767301
