route_id,service_id,trip_id,trip_headsign,direction_id
001,12345,r001_e00_w,Pietroasele,0
001,12345,r001_e00_b,Buzău Autogara Sud,1
001,12345,r001_e01_w,Pietroasele,0
001,12345,r001_e01_b,Buzău Autogara Sud,1
001,1234567,r001_e02_w,Pietroasele,0
001,1234567,r001_e02_b,Buzău Autogara Sud,1
001,1234567,r001_e03_w,Pietroasele,0
001,1234567,r001_e03_b,Buzău Autogara Sud,1
001,1234567,r001_e04_w,Pietroasele,0
001,1234567,r001_e04_b,Buzău Autogara Sud,1
002,1234567,r002_e00_w,Vispeşti,0
002,1234567,r002_e00_b,Buzău Autogara Sud,1
002,1234567,r002_e01_w,Vispeşti,0
002,1234567,r002_e01_b,Buzău Autogara Sud,1
002,1234567,r002_e02_w,Vispeşti,0
002,1234567,r002_e02_b,Buzău Autogara Sud,1
002,1234567,r002_e03_w,Vispeşti,0
002,1234567,r002_e03_b,Buzău Autogara Sud,1
002,1234567,r002_e04_w,Vispeşti,0
002,1234567,r002_e04_b,Buzău Autogara Sud,1
002,1234567,r002_e05_w,Vispeşti,0
002,1234567,r002_e05_b,Buzău Autogara Sud,1
003,1234567,r003_e00_w,Năeni,0
003,1234567,r003_e00_b,Buzău Autogara Sud,1
003,12345,r003_e01_w,Năeni,0
003,12345,r003_e01_b,Buzău Autogara Sud,1
003,1234567,r003_e02_w,Năeni,0
004,12345,r004_e00_w,Finţeşti,0
004,12345,r004_e00_b,Buzău Autogara Marghiloman,1
004,1234567,r004_e01_w,Finţeşti,0
004,1234567,r004_e01_b,Buzău Autogara Marghiloman,1
005,1234567,r005_e00_w,Clondiru,0
005,1234567,r005_e00_b,Buzău Autogara Sud,1
005,1234567,r005_e01_w,Clondiru,0
005,1234567,r005_e01_b,Buzău Autogara Sud,1
005,1234567,r005_e02_w,Clondiru,0
005,1234567,r005_e02_b,Buzău Autogara Sud,1
005,1234567,r005_e03_w,Clondiru,0
005,1234567,r005_e03_b,Buzău Autogara Sud,1
005,12345,r005_e04_w,Clondiru,0
005,12345,r005_e04_b,Buzău Autogara Sud,1
005,1234567,r005_e05_w,Clondiru,0
005,1234567,r005_e05_b,Buzău Autogara Sud,1
005,12345,r005_e06_w,Clondiru,0
005,12345,r005_e06_b,Buzău Autogara Sud,1
005,12345,r005_e07_w,Clondiru,0
005,12345,r005_e07_b,Buzău Autogara Sud,1
005,12345,r005_e08_w,Clondiru,0
005,12345,r005_e08_b,Buzău Autogara Sud,1
006,12345,r006_e00_w,Vintileanca,0
006,12345,r006_e00_b,Buzău Autogara Sud,1
006,12345,r006_e01_w,Vintileanca,0
006,12345,r006_e01_b,Buzău Autogara Sud,1
006,12345,r006_e02_w,Vintileanca,0
006,12345,r006_e02_b,Buzău Autogara Sud,1
007,12345_SCH,r007_e00_w,Buzău,0
007,12345_SCH,r007_e00_b,Autogara Sud,1
007,12345,r007_e01_w,Buzău,0
007,12345,r007_e01_b,Autogara Sud,1
007,123456_SCH,r007_e02_w,Buzău,0
007,123456_SCH,r007_e02_b,Autogara Sud,1
008,12345,r008_e00_w,Buzău,0
008,12345,r008_e00_b,Autogara Sud,1
008,123456,r008_e01_w,Buzău,0
008,123456,r008_e01_b,Autogara Sud,1
008,1234567,r008_e02_w,Buzău,0
008,1234567,r008_e02_b,Autogara Sud,1
008,1234567,r008_e03_w,Buzău,0
008,1234567,r008_e03_b,Autogara Sud,1
008,12345,r008_e04_w,Buzău,0
008,12345,r008_e04_b,Autogara Sud,1
008,12345,r008_e05_w,Buzău,0
008,12345,r008_e05_b,Autogara Sud,1
008,123456,r008_e06_w,Buzău,0
008,123456,r008_e06_b,Autogara Sud,1
008,123456,r008_e07_w,Buzău,0
008,123456,r008_e07_b,Autogara Sud,1
008,123456,r008_e08_w,Buzău,0
008,123456,r008_e08_b,Autogara Sud,1
008,1234567,r008_e09_w,Buzău,0
008,1234567,r008_e09_b,Autogara Sud,1
008,1234567,r008_e10_w,Buzău,0
008,1234567,r008_e10_b,Autogara Sud,1
008,1234567,r008_e11_w,Buzău,0
008,1234567,r008_e11_b,Autogara Sud,1
008,12345,r008_e12_w,Buzău,0
008,12345,r008_e12_b,Autogara Sud,1
008,1234567,r008_e13_w,Buzău,0
008,1234567,r008_e13_b,Autogara Sud,1
008,123456,r008_e14_w,Buzău,0
008,123456,r008_e14_b,Autogara Sud,1
008,1234567,r008_e15_w,Buzău,0
008,1234567,r008_e15_b,Autogara Sud,1
008,1234567,r008_e16_w,Buzău,0
008,1234567,r008_e16_b,Autogara Sud,1
009,12345,r009_e00_w,Buzău,0
009,12345,r009_e00_b,Autogara Sud,1
009,1234567,r009_e01_w,Buzău,0
009,1234567,r009_e01_b,Autogara Sud,1
009,12345,r009_e02_w,Buzău,0
009,12345,r009_e02_b,Autogara Sud,1
009,12345_SCH,r009_e03_w,Buzău,0
009,12345_SCH,r009_e03_b,Autogara Sud,1
009,1234567,r009_e04_w,Buzău,0
009,1234567,r009_e04_b,Autogara Sud,1
009,12345_SCH,r009_e05_w,Buzău,0
009,12345_SCH,r009_e05_b,Autogara Sud,1
010,1234567,r010_e00_w,Buzău,0
010,1234567,r010_e00_b,Autogara Sud,1
010,12345,r010_e01_w,Buzău,0
010,12345,r010_e01_b,Autogara Sud,1
010,12345_SCH,r010_e02_w,Buzău,0
010,12345_SCH,r010_e02_b,Autogara Sud,1
010,12345,r010_e03_w,Buzău,0
010,12345,r010_e03_b,Autogara Sud,1
010,123456,r010_e04_w,Buzău,0
010,123456,r010_e04_b,Autogara Sud,1
010,1234567,r010_e05_w,Buzău,0
010,1234567,r010_e05_b,Autogara Sud,1
010,123456,r010_e06_w,Buzău,0
010,123456,r010_e06_b,Autogara Sud,1
011,1234567,r011_e00_w,Buzău,0
011,1234567,r011_e00_b,Autogara Sud,1
011,1234567,r011_e01_w,Buzău,0
011,1234567,r011_e01_b,Autogara Sud,1
011,12345_SCH,r011_e02_w,Buzău,0
011,12345_SCH,r011_e02_b,Autogara Sud,1
011,1234567,r011_e03_w,Buzău,0
011,1234567,r011_e03_b,Autogara Sud,1
011,12345,r011_e04_w,Buzău,0
011,12345,r011_e04_b,Autogara Sud,1
012,123456,r012_e00_w,Buzău,0
012,123456,r012_e00_b,Autogara Sud,1
012,1234567,r012_e01_w,Buzău,0
012,1234567,r012_e01_b,Autogara Sud,1
012,12345,r012_e02_w,Buzău,0
012,12345,r012_e02_b,Autogara Sud,1
012,1234567,r012_e03_w,Buzău,0
012,1234567,r012_e03_b,Autogara Sud,1
012,123456,r012_e04_w,Buzău,0
013,1234567,r013_e00_w,Satu Nou,0
013,1234567,r013_e00_b,Buzău Autgara Sud,1
013,1234567,r013_e01_w,Satu Nou,0
013,1234567,r013_e01_b,Buzău Autgara Sud,1
013,12345,r013_e02_w,Satu Nou,0
013,12345,r013_e02_b,Buzău Autgara Sud,1
013,1234567,r013_e03_w,Satu Nou,0
013,1234567,r013_e03_b,Buzău Autgara Sud,1
014,12345,r014_e00_w,Brăgăreasa,0
014,12345,r014_e00_b,Buzău Autogara Sud,1
014,12345,r014_e01_w,Brăgăreasa,0
014,12345,r014_e01_b,Buzău Autogara Sud,1
015,123456,r015_e00_w,Arcanu,0
015,123456,r015_e00_b,Buzău Autogara Sud,1
015,123456,r015_e01_w,Arcanu,0
015,123456,r015_e01_b,Buzău Autogara Sud,1
015,12345,r015_e02_w,Arcanu,0
015,12345,r015_e02_b,Buzău Autogara Sud,1
015,123456,r015_e03_w,Arcanu,0
015,123456,r015_e03_b,Buzău Autogara Sud,1
015,7,r015_e04_w,Arcanu,0
015,7,r015_e04_b,Buzău Autogara Sud,1
016,12345,r016_e00_w,Padina,0
016,12345,r016_e00_b,Buzău Autogara Sud,1
016,1234567,r016_e01_w,Padina,0
016,1234567,r016_e01_b,Buzău Autogara Sud,1
016,12345,r016_e02_w,Padina,0
016,12345,r016_e02_b,Buzău Autogara Sud,1
016,12345,r016_e03_w,Padina,0
016,12345,r016_e03_b,Buzău Autogara Sud,1
016,1234567,r016_e04_w,Padina,0
016,1234567,r016_e04_b,Buzău Autogara Sud,1
016,1234567,r016_e05_w,Padina,0
016,1234567,r016_e05_b,Buzău Autogara Sud,1
016,12345_SCH,r016_e06_w,Padina,0
