stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
BZ0022b,Matesti - str. Balastierei,,45.22186942096428,26.750003320481923,3
BZ01,A.C.R. - Lensa,,45.14800951504298,26.814321192322748,1
BZ02,A.C.R. - Maxi Farma,A.C.R. - Maxi Farma,45.14823805278091,26.814619467646736,1
BZ02111,Pitar Mos,,45.14716667477201,26.850861096445563,1
BZ03,Agrana,,45.13485,26.83985,1
bz0311,Urziceni 1,,45.141305212714265,26.822798804117117,1
BZ04,Alison,,45.13374,26.81711,1
BZ0401,Somet,,45.17293253506846,26.772812695318255,1
bz0499,Gradinita nr.10,Spre Vernesti,45.16260859319041,26.790131575895025,1
BZ04Oltului,Oltului,,45.158798553749946,26.8065526878579,1
BZ05,Alison - B,Alison,45.13361325598827,26.817850728835605,1
bz0500,Gradinita 10,spre oras,45.16222205560922,26.791718935129488,1
BZ06,Apcarom 1,,45.14239,26.84503,1
BZ06bN21,Metro,,45.17614053916677,26.763630181794237,1
BZ07,Vae Apcarom,,45.135054113518486,26.84961515222957,1
BZ08,Apcarom,Apcarom 2-b,45.13501999999999,26.84959,1
BZ09,Arhiepiscopie,,45.15619,26.81968,1
BZ0N12C,Diego,,45.164138227988225,26.816981296969182,1
BZ10,Aromet,,45.13732,26.8524,1
BZ100,Gerom,,45.13436,26.82632,1
BZ101,Gerom 1- B,Gerom 1,45.13392,26.82427,1
BZ102,Gerom 2 -B,Gerom 2,45.13398,26.82532,1
BZ103,Horticolei,,45.14909,26.8543,1
BZ104,Horticolei B,Horticolei,45.14907545258356,26.85468073528344,1
BZ105,Int. Dorobanti (Penny),Int. Dorobanti,45.15150000000001,26.836410000000004,1
BZ106,Intersectie G.C,,45.18527,26.84776,2
BZ107,Intersectie G.C - B,Intersectie G.C,45.1853,26.84799,2
BZ108,Kaufland Sud/E85,Kaufland Sud,45.139160000000004,26.801350000000006,1
BZ109,C.I.T. Buzau,,45.13844270523923,26.800161386222463,1
BZ11,Autogara - Statie Facultativa,,45.14355,26.83013,1
BZ110,Liceul 1,,45.15064,26.84389,1
BZ111,Liceul 1 - Panou,Liceul 1,45.15078000000001,26.843740000000004,1
BZ112,Liceul 7,,45.134436509692115,26.833205513877463,1
BZ113,Liceul 7 - B,Liceul 7,45.13471,26.83538,1
BZ114,Liceul C.F.R,,45.146396237041934,26.848125013351165,1
BZ115,Centrul Schengen,Liceul De Politie,45.13975000000001,26.816489999999998,1
BZ11501,Orizontului,Spre comat,45.166294258699,26.785307193582653,1
BZ1156,Depozit Ursus (Vernesti),,45.17842784570057,26.76278971277982,3
BZ116,Centrul Schengen B,Liceul De Politie,45.139660000000006,26.8166,1
BZ117,Liceul Pedagogic,,45.14826,26.810230000000004,1
BZ118,Maracineni - 1 Mhd,,45.17594,26.82598,2
BZ119,Maracineni  - 1 Mhd - B,Maracineni 1 Mhd,45.17639,26.82612,2
BZ11b,Vadu Pasii - Strungarie,,45.1496400415998,26.891572065353383,3
BZ11BNors,Vadu Pasii - Str Oras,Str Oras - Vadu Pasii,45.160520310460775,26.874647326469418,2
BZ12,Maracineni - Autorolla,,45.18979,26.84179,2
BZ120,Maracineni 2 (Biserica),,45.18261,26.83053,2
BZ1201,GreenWEEE Internatinal,,45.1075584688309,26.828369858548925,2
BZ1202,Odaia Banului - Scuar,,45.07789033867009,26.83223121051614,3
BZ121,Maracineni 2 (Biserica) - B,Maracineni 2 (Biserica),45.18232,26.83012,2
BZ12103,Odaia Banului - Intersectie,,45.07255852648366,26.830127264209985,3
bz12104,Maxenu - C.A.P.,,45.05311749514069,26.852983979350743,3
bz122,General Membrane B,,45.12240855004821,26.824528996152925,1
BZ122,Matesti - Str. Molidului,,45.21908,26.75087,3
BZ12201,Depozit Ursus (Sos. Spatarului),,45.13187793918278,26.814629310382173,1
BZ12202,Raspberry,,45.13029330981806,26.813047714233388,1
BZ12202d,Trufi,,45.12995589340484,26.812869855350957,1
BZ12203,IDM Dinamic,,45.12696795467241,26.80982397991384,1
BZ12299,I.F.L,,45.13094018978548,26.813736557612383,1
BZ123,Matesti - Str. Molidului B,,45.21927,26.75118,3
BZ124,Ostrovului,,45.152733914787376,26.819116642475926,1
BZ12499,Yazaki,,45.12607766936592,26.808996305423225,1
BZ125,Micro14,,45.15694,26.79176,1
BZ126,Micro 14 - B,Micro 14,45.15696,26.79159,1
BZ127,Micro 3 - Politie,,45.16019,26.82138,1
BZ128,Micro 5 - Posta,Micro 5,45.14718,26.83841,1
BZ129,Micro 5 - Magazin,Micro 5,45.14774,26.837990000000012,1
BZ13,Maracineni - Autorolla B,Autorolla,45.18987,26.84177,2
BZ130,Mihai Viteazu,,45.13454,26.82897,1
BZ1302,Verguleasa,,45.12105087388327,26.88628605912638,2
BZ1303,Bentu,Bentu - Statie Gaze,45.06613282257857,26.972864476443565,3
bz1304,Tabarasti - str. Unirii  nr.93,,45.08696075067261,26.9230241114331,2
BZ1305,"Tabarasti - Parc - Str. Poenarilor, nr 2",,45.083167524676476,26.91992384525274,2
BZ1306,Tabarasti - Str. Preot C-tin Stoicescu nr 36,,45.07786469401527,26.913506384230274,2
BZ1307,Tabarasti - Gradinita - Str Preot C-tin. Stoicescu nr 36,,45.080254578716925,26.91538186438234,2
Bz1308,Tabarasti- str Linii CFR,,45.07351654246495,26.917237785442712,2
BZ131,Mihai Viteazu -  2,Mihai Viteazu,45.13425,26.82917,1
BZ1311,"Tabarasti- str. gen. Dumitru Cristea, nr 21",,45.07707158578276,26.923202584887882,2
BZ1312,"Tabarasti - str Unirii, nr 19",Tabarasti Vechi - Cap Sat - Tur,45.07817876676635,26.92570216938201,2
BZ1314,Galbinasi - Str. Tudor Gheorge nr.82,Galbinasi Cap,45.07652564872105,26.928804659607156,2
BZ1315,Galbinasi -  Farmacie - str. Prof. Tudor Gheorghe nr. 55,,45.07451876462817,26.933423450429746,2
BZ1316,Galbinasi- Gradinita - Str. Prof. Tudor Gheorge nr28,,45.07720967238086,26.935843136179884,2
BZ1317,Galbinasi - Scoala - Str. Prof. Tudor Gheorge nr 8,,45.07902130941852,26.937005639439473,2
BZ1318,"Bentu - str Cuibul Berzi nr1, nr 50",,45.07241555509518,26.970309584364173,3
BZ1319,Bentu - str. Cuibul Berzei nr  16,,45.07064664553699,26.974324175822115,3
BZ1320,Cartier Crang,,45.15079028440094,26.794289383714258,1
BZ133,Mitran,,45.14993,26.84882,1
BZ134,Mitran 2,Mitran,45.15007,26.84852,1
BZ135,Mosoiu Panait,,45.1399,26.83339,1
BZ136,Parcul Crang,,45.14875986160114,26.803905995058507,1
BZ137,Parcul Crang - B,Parcul Crang,45.14822,26.80456,1
BZ138,Parcul Marghiloman (Poarta),Parcul Marghiloman,45.14559999999999,26.84541,1
BZ139,Parcul Marghiloman (Mag),Parcul Marghiloman,45.14554999999999,26.845660000000002,1
BZ14,Bariera Brailei - Pod,Bariera Brailei,45.144510000000004,26.841980000000007,1
BZ140,Peco,,45.13980593859474,26.803437464942945,1
BZ1403,Pogonele - Cruce,,45.08940230978893,26.856134047569032,2
BZ141,Piata Centrala,,45.15205,26.81952,1
BZ1410,General Membrane,,45.12748149624867,26.82088674214027,1
BZ1413,Pogonele - Scoala,,45.088247915318206,26.86793175922265,2
BZ1414,Pogonele - Farmacie,,45.08498525077123,26.870902923996894,2
BZ1415,Pogonele - Cruce,,45.089465790280585,26.856413669586182,2
BZ1416,Țintești  - Școală,,45.07866628853657,26.876530151351766,2
BZ1417,Țintești - Centru,,45.07541618087174,26.874756141920905,2
bz1418,Maxenu - Școală,,45.05466619268905,26.85511154202629,3
BZ1418,Țintești - Prund,,45.073204613429745,26.87261918405479,2
BZ142,Piata Dorobanti,Piata Dorobanti - Pct eliberare,45.15106629671825,26.840392565640805,1
BZ1421,Maxenu - Magazin,,45.05098930901383,26.85312198857887,3
bz1422,Maxenu  - S.M.A.,,45.04627439887861,26.852556321871102,3
BZ1423,Smeeni - Str. Bisericii,,44.99867299331259,26.853022015379334,5
BZ1424,Smeeni - Primarie,,44.996569950012734,26.8586791773741,5
BZ1425,Smeeni - Sălcioara OGA,,44.992678451336324,26.87026298217571,5
BZ1426,Moisica - Magazin,,44.99597858178806,26.889387166675416,6
bz1427,Albești - Intersecție,Albesti,44.98903446865202,26.92625994098164,6
bz1428,Udați - Mânzu,Udați-Mânzu-CAP,44.98560781765949,26.950305390173163,7
BZ1429,Udați-Mânzu - Magazin,,44.98525552721038,26.95824058665422,7
BZ143,Piata Dorobanti 2,,45.151036607309855,26.840199367385445,1
BZ1430,Udați-Mânzu - Biserică,,44.97393803402807,26.96803233467469,7
BZ1431,Udați - Lucieni - Foraj,,44.96989520068617,26.96681716922403,7
BZ144,Pod Maracineni - Retur,,45.17553,26.82426,2
BZ145,Pod Maracineni - Tur,,45.17536,26.82429,2
BZ146,Pod Matesti,,45.2095,26.7599,2
BZ147,Pod Matesti -B,Pod Matesti,45.20939,26.75947,2
BZ148,Pod Vadu Pasii,,45.15248,26.86414,2
BZ14gwi,Pogonele intersecție GWI,,45.11087258945118,26.83000685219541,2
BZ150,Politie,,45.15966,26.824,1
BZ151,Principala B. 3,,45.16743,26.87308,2
BZ152,Principala B3 - B,Principala B3,45.16731,26.8734,2
BZ1522,Stalpu - SMA,,45.098395356508554,26.702121667081084,3
BZ1523,Stalpu Gara,,45.08522274653163,26.708293696421237,3
BZ1524,Stalpu - Mini Market,,45.082254337326546,26.708317153081538,3
BZ1525,Stalpu - Camin Cultural,,45.08089048218485,26.708360022383342,3
BZ153,Focsanei - Principala F.1,,45.17913,26.85722,2
BZ154,Focsanei - Principala F1. - B,Principala F1,45.17926,26.85722,2
BZ155,Vadu Pasii - Principala V.B.2,,45.17414,26.86525,2
BZ156,Vadu Pasii - Principala V.P. 4,,45.16207,26.879,2
BZ157,Vadu Pasii - Principala V.P. 4 - B,Principala V.P. 4,45.16219,26.87902,2
BZ158,Vadu Pasii - Principala V.P. 5 - B,Principala V.P. 5,45.15868,26.88417,2
BZ159,Vadu Pasii - Principala V.P. 6,,45.15643,26.88749,2
BZ160,Vadu Pasii - Principala V.P. 6 - B,Principala V.P. 6,45.15627,26.88801,2
BZ161,Vadu Pasii - Principala Vb2 - B,Principala Vb2,45.17397,26.86514,2
BZ162,Rachitei Magazin,Rachitei,45.171221769574544,26.780389093918934,1
BZ163,Rachitei -T,Rachitei,45.17094,26.78047,1
BZ164,McDonald's(RAM),,45.152318013569314,26.817544200355268,1
BZ165,Raul Buzau - AQUA,Raul Buzau - Retur,45.16853,26.818890000000003,1
BZ166,Raul Buzau - OMV,Raul Buzau - Tur,45.16854000000001,26.81909,1
BZ167,Restaurant Mariaj,,45.14239,26.8453,1
BZ168,Romcarbon,Spre capat,45.15936,26.80524000000001,1
BZ169,Romcarbon 2,,45.15912,26.80563,1
BZ17,Bariera Brailei - Parc,Bariera Brailei,45.14524783648836,26.84113853249664,1
BZ170,Rond - str Oltului,,45.15407,26.80244,1
BZ17032,Merei - Parc,,45.13207637993898,26.6781529701233,3
BZ171,Rotec,,45.13457,26.8398,1
BZ172,Sala Sporturilor,,45.15858925560925,26.830480757112596,1
BZ173,Sapoca - Casa Apei,,45.23029974150873,26.74467290280483,3
BZ176,Sapoca - Zarzaulea,,45.23662,26.74455,3
BZ177,Sapoca - Casa Apei,,45.23048277727139,26.744733025051534,3
BZ178,Sapoca - Dispensar,,45.23953,26.74682,3
BZ179,Sapoca - Dispensar - B,Sapoca Dispensar,45.23928,26.74699,3
BZ18,Bazalt,,45.16116,26.79711,1
BZ180,Sapoca Zarzaulea 2,,45.23662,26.74446,3
BZ181,Scdl - Statie Facultativa,,45.15778,26.82675,1
BZ1811,Sarata Monteoru - Cantina Ceres,,45.14948528985657,26.631590909957875,6
BZ182,Scoala 10,,45.13786,26.83196,1
BZ184,Scoala 15,,45.147299999999994,26.80997,1
BZ185,Scurtest 1 Ciocarlia B,Scurtest 1 Ciocarlia,45.14997,26.89184,3
BZ187,Scurtesti 1 Ciocarlia,,45.14508423699942,26.886839479193384,3
BZ188,Scurtesti 2,,45.1438942288172,26.886268362329425,3
BZ189,Scurtesti 2- B,Scurtesti 2,45.14505000000001,26.886760000000002,3
BZ19,Jandarmerie - B,Bazalt,45.159530000000004,26.79539,1
BZ190,Scurtesti 3,,45.14128,26.89252,3
BZ191,Scurtesti 3 -B,Scurtesti 3,45.14134,26.89273,3
BZ192,Scurtesti 4,,45.13718,26.90361,3
BZ193,Scurtesti 4 - B,Scurtesti 4,45.13713,26.90389,3
BZ195,Scurtesti 5 - B,Scurtesti 5,45.13241,26.91034,3
BZ197,Sos. Brailei,,45.13735,26.85263,1
BZ198,Spiru Haret,,45.14391,26.80806,1
BZ199,Spiru Haret - B,Spiru Haret,45.14379,26.80817,1
bz1n89,Tabarasti - str. Unirii  nr.132,,45.08352383166013,26.92047508775283,2
bz1nf,Galbinasi - Scoala - Str. Prof. Tudor Gheorge nr 72,,45.07595973272151,26.934791595637456,2
BZ20,Jandarmerie,Bazalt,45.15847782711196,26.79401973743513,1
